measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.lo,network_rx_bytes.vtarget_1,network_rx_bytes.vinternal_1,network_rx_bytes.telemetry1_sb
20,0.5,python,1638818048651,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403416,275376,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1429,0,222,285458,35,0,4,37,37130,63,63,1638818048714,30672,0,56565808,90
21,0.5,python,1638818049715,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2404316,279288,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1447,0,225,285652,35,0,4,38,37745,95,95,1638818049810,30672,0,67553936,90
22,0.5,python,1638818050811,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2404360,283199,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1548,0,228,285762,35,0,4,42,37974,100,100,1638818050911,30672,0,67553936,90
23,0.5,python,1638818051912,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403208,287107,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1563,0,232,285953,35,0,4,43,38428,42,42,1638818051954,30672,0,76634918,90
24,0.5,python,1638818052956,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2404084,291023,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1659,0,234,286070,35,0,4,43,38614,94,94,1638818053050,30672,0,78366679,90
25,0.5,python,1638818054051,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2402912,294919,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1709,0,238,286235,35,0,4,45,38988,85,85,1638818054136,30672,0,81708821,90
26,0.5,python,1638818055137,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403160,298862,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1734,0,241,286413,35,0,4,45,39277,51,51,1638818055188,30672,0,81710716,90
27,0.5,python,1638818056189,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403284,302775,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1734,0,244,286616,35,0,4,46,39517,34,34,1638818056223,30672,0,81819661,90
28,0.5,python,1638818057225,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403220,310545,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1761,0,249,286790,35,0,4,46,39788,35,35,1638818057260,30672,0,83636898,90
29,0.5,python,1638818058261,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403384,314443,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1762,0,252,286993,35,0,4,46,40104,39,39,1638818058300,30776,0,89927518,90
