measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.vinternal_1,network_rx_bytes.lo,network_rx_bytes.telemetry1_sb,network_rx_bytes.vtarget_1
20,0.5,python,1639134881970,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354912,556943,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2934,0,548,1031061,102,0,13,83,76789,183,183,1639134882153,187101079,93795,176,0
21,0.5,python,1639134883154,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354036,562443,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2949,0,556,1031256,102,0,13,84,77551,86,86,1639134883240,193385134,93795,176,0
22,0.5,python,1639134884242,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354960,567925,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2997,0,563,1031432,102,0,14,84,78155,187,187,1639134884429,197914416,93795,176,0
23,0.5,python,1639134885431,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354664,573399,Intel(R) Xeon(R) Processor @ 2.50GHz,63,3072,0,570,1031572,102,0,14,84,78738,90,90,1639134885521,197914548,93795,176,0
24,0.5,python,1639134886523,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354004,578909,Intel(R) Xeon(R) Processor @ 2.50GHz,63,3114,0,576,1031739,102,0,14,85,79595,91,91,1639134886614,201261727,93795,176,0
25,0.5,python,1639134887616,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354072,584408,Intel(R) Xeon(R) Processor @ 2.50GHz,63,3116,0,583,1031947,102,0,14,85,80232,84,84,1639134887700,201262416,93795,176,0
26,0.5,python,1639134888702,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2354112,589902,Intel(R) Xeon(R) Processor @ 2.50GHz,63,3117,0,590,1032154,102,0,15,85,80881,86,86,1639134888788,201725019,93795,176,0
27,0.5,python,1639134889789,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2335620,599994,Intel(R) Xeon(R) Processor @ 2.50GHz,63,3147,0,598,1032333,102,0,15,86,81487,84,85,1639134889874,203638938,93899,176,0
28,0.5,python,1639134890875,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2335572,605476,Intel(R) Xeon(R) Processor @ 2.50GHz,63,3147,0,606,1032540,102,0,16,86,82187,83,83,1639134890958,211559155,93899,176,0
29,0.5,python,1639134891960,25b91d9e-d9ed-40c6-962d-a4e9cde7b046,0,1639129707,AWS Lambda,2021/12/10/[$LATEST]0bd5b744c8494b3faa24e4985f87166c,root_lambda,1769,us-east-1,ox-roo,Linux 169.254.163.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2336224,610940,Intel(R) Xeon(R) Processor @ 2.50GHz,63,3218,0,613,1032697,102,0,16,86,82739,208,208,1639134892168,214083447,93899,176,0
