measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.telemetry1_sb,network_rx_bytes.vtarget_1,network_rx_bytes.vinternal_1,network_rx_bytes.lo
20,0.5,python,1639133763982,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544180,470936,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6889,0,482,570742,306,0,2,131,58721,137,137,1639133764119,180,0,9786,91701
21,0.5,python,1639133765120,b5b864ab-ef04-44b0-8286-d590f1cdd6aa,0,1639130871,AWS Lambda,2021/12/10/[$LATEST]6fcd019d058c4a92b999bb8a40ae1692,root_lambda,1769,us-east-1,,Linux 169.254.156.89 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2543340,475115,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6995,0,486,570857,306,0,2,131,59017,141,141,1639133765261,180,0,9786,91701
0,0.5,python,1639133741234,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2556732,383832,Intel(R) Xeon(R) Processor @ 2.50GHz,63,4862,0,397,407321,393,0,3,107,49773,157,157,1639133741391,90,0,9830,90551
1,0.5,python,1639133742392,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2545452,390615,Intel(R) Xeon(R) Processor @ 2.50GHz,63,4962,0,405,407443,393,0,3,109,50046,159,159,1639133742551,90,0,9830,90551
2,0.5,python,1639133743553,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2545072,394979,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5067,0,409,407567,393,0,3,110,50328,160,160,1639133743713,90,0,9830,90551
3,0.5,python,1639133744715,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2545028,399160,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5169,0,415,407687,393,0,3,111,50637,156,156,1639133744871,90,0,9830,90551
4,0.5,python,1639133745872,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2545000,403316,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5271,0,421,407809,393,0,3,111,50914,159,160,1639133746032,90,0,9830,90551
5,0.5,python,1639133747033,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544980,407511,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5380,0,425,407929,393,0,3,112,51221,163,163,1639133747196,90,0,9830,90551
6,0.5,python,1639133748197,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544932,411667,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5488,0,429,408044,393,0,3,114,51508,153,153,1639133748350,90,0,9830,90551
7,0.5,python,1639133749351,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544956,415845,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5590,0,436,408167,393,0,3,114,51754,162,162,1639133749513,90,0,9830,90551
